"Age_group","Sex","Setting","n","pct_diabetic","pct_prediab"
"18-29","Female","Rural",60,0,28.3333333333333
"18-29","Female","Urban",29,0,10.3448275862069
"18-29","Male","Rural",75,5.33333333333333,14.6666666666667
"18-29","Male","Urban",36,0,22.2222222222222
"30-44","Female","Rural",128,13.28125,36.71875
"30-44","Female","Urban",15,0,40
"30-44","Male","Rural",85,18.8235294117647,29.4117647058824
"30-44","Male","Urban",37,10.8108108108108,21.6216216216216
"45-59","Female","Rural",117,38.4615384615385,38.4615384615385
"45-59","Female","Urban",11,27.2727272727273,36.3636363636364
"45-59","Male","Rural",96,31.25,39.5833333333333
"45-59","Male","Urban",14,42.8571428571429,14.2857142857143
"60-74","Female","Rural",57,42.1052631578947,42.1052631578947
"60-74","Female","Urban",9,33.3333333333333,66.6666666666667
"60-74","Male","Rural",67,38.8059701492537,32.8358208955224
"60-74","Male","Urban",7,28.5714285714286,57.1428571428571
"75+","Female","Rural",11,27.2727272727273,63.6363636363636
"75+","Female","Urban",4,75,25
"75+","Male","Rural",24,41.6666666666667,33.3333333333333
"75+","Male","Urban",5,60,20
